Name of medicine,EMA product number,Medicine status,International non-proprietary name (INN) / common name,Active substance
Fluad,EMEA/H/C/006538,Authorised,"influenza vaccine (surface antigen, inactivated, adjuvanted)","A/Victoria/4897/2022 (H1N1)pdm09 like strain (A/Victoria/4897/2022, IVR-238);A/Croatia/10136RV/2023 (H3N2)-like strain (A/Croatia/10136RV/2023, X-425A);B/Austria/1359417/2021 like strain (B/Austria/1359417/2021, BVR-26)"
Fluenz,EMEA/H/C/006514,Authorised,"influenza vaccine (live attenuated, nasal)","influenza virus A/Victoria/4897/2022? (H1N1)pdm09 - like strain (A/Norway/31694/2022, MEDI 369815),    A A/Croatia/10136RV/2023 (H3N2)-like strain (A/Perth/722/2024, MEDI 392611)  B/Austria/1359417/2021 - like strain (B/ Austria/1359417/2021, MEDI 355292)"
Febuxostat Viatris (previously Febuxostat Mylan),EMEA/H/C/004374,Authorised,febuxostat,febuxostat
Waylivra,EMEA/H/C/004538,Authorised,volanesorsen,volanesorsen sodium
Sugammadex Fresenius Kabi,EMEA/H/C/005760,Authorised,sugammadex,sugammadex sodium
Epoetin Alfa Hexal,EMEA/H/C/000726,Authorised,epoetin alfa,epoetin alfa
Binocrit,EMEA/H/C/000725,Authorised,epoetin alfa,epoetin alfa
Abseamed,EMEA/H/C/000727,Authorised,epoetin alfa,epoetin alfa
Kayfanda,EMEA/H/C/006462,Authorised,odevixibat,odevixibat sesquihydrate
Bylvay,EMEA/H/C/004691,Authorised,odevixibat,odevixibat
Imfinzi,EMEA/H/C/004771,Authorised,durvalumab,durvalumab
Filsuvez,EMEA/H/C/005035,Authorised,birch bark extract,"dry extract from birch bark (DER 5-10 : 1), extraction solvent n-heptane 95% (w/w)"
Capecitabine Teva,EMEA/H/C/002362,Authorised,capecitabine,capecitabine
Xbryk,EMEA/H/C/006468,Authorised,denosumab,denosumab
Temozolomide Sun,EMEA/H/C/002198,Authorised,temozolomide,temozolomide
Evotaz,EMEA/H/C/003904,Authorised,atazanavir;cobicistat,cobicistat;atazanavir
Toujeo (previously Optisulin),EMEA/H/C/000309,Authorised,insulin glargine,insulin glargine
Ituxredi,EMEA/H/C/006224,Authorised,rituximab,rituximab
Ritonavir Viatris (previously Ritonavir Mylan),EMEA/H/C/004549,Authorised,ritonavir,ritonavir
Cibinqo,EMEA/H/C/005452,Authorised,abrocitinib,abrocitinib
Filgrastim Hexal,EMEA/H/C/000918,Authorised,filgrastim,filgrastim
Zarzio,EMEA/H/C/000917,Authorised,filgrastim,filgrastim
Obgemsa,EMEA/H/C/005957,Authorised,vibegron,vibegron
Holoclar,EMEA/H/C/002450,Authorised,ex vivo expanded autologous human corneal epithelial cells containing stem cells,ex vivo expanded autologous human corneal epithelial cells containing stem cells
Stronghold Plus,EMEA/V/C/004194,Authorised,selamectin;sarolaner,selamectin;sarolaner
NexGard Combo,EMEA/V/C/005094,Authorised,esafoxolaner;eprinomectin;praziquantel,eprinomectin;esafoxolaner;praziquantel
Nobilis Multriva IBm+ND+Gm+REOm+EDS,EMEA/V/C/005987,Authorised,avian infectious bronchitis;Newcastle disease;avian infectious bursal disease;avian reovirus;egg drop syndrome virus vaccine (inactivated),"infectious bronchitis virus, type Massachusetts, strain M41, inactivated ;infectious bronchitis virus, type 793/B, strain 4/91, inactivated;Newcastle disease virus, strain Ulster, inactivated;Infectious bursal disease virus, strain GB02, inactivated;Infectious bursal disease virus, strain 89/03, inactivated;inactivated avian reovirus strain ARV-1;inactivated avian reovirus strain ARV-4;Eggdrop syndrome-1976 virus, strain BC14, inactivated"
Circadin,EMEA/H/C/000695,Authorised,melatonin,melatonin
Hyftor,EMEA/H/C/005896,Authorised,sirolimus,sirolimus
Rilonacept FGK Representative Service GmbH,EMEA/H/C/006537,Application withdrawn,rilonacept,rilonacept
Orfadin,EMEA/H/C/000555,Authorised,nitisinone,nitisinone
Neoatricon,EMEA/H/C/006044,Authorised,dopamine hydrochloride,dopamine hydrochloride;Dopamine
Tivdak,EMEA/H/C/005363,Authorised,tisotumab vedotin,tisotumab vedotin
Lyvdelzi (previously Seladelpar Gilead),EMEA/H/C/004692,Authorised,seladelpar lysine dihydrate,seladelpar lysine dihydrate
Cufence,EMEA/H/C/004111,Authorised,trientine dihydrochloride,trientine dihydrochloride
Stivarga,EMEA/H/C/002573,Authorised,regorafenib,regorafenib
Idefirix,EMEA/H/C/004849,Authorised,imlifidase,imlifidase
Busulfan Fresenius Kabi,EMEA/H/C/002806,Authorised,busulfan,busulfan
Constella,EMEA/H/C/002490,Authorised,linaclotide,linaclotide
Cimzia,EMEA/H/C/001037,Authorised,certolizumab pegol,certolizumab pegol
Jardiance,EMEA/H/C/002677,Authorised,empagliflozin,empagliflozin
BroPair Spiromax,EMEA/H/C/005591,Withdrawn,salmeterol;fluticasone propionate,salmeterol xinafoate;fluticasone propionate
Levetiracetam Actavis,EMEA/H/C/002355,Authorised,levetiracetam,levetiracetam
Glyxambi,EMEA/H/C/003833,Authorised,empagliflozin;linagliptin,empagliflozin;linagliptin
Levetiracetam ratiopharm,EMEA/H/C/002244,Authorised,levetiracetam,levetiracetam
Levetiracetam Teva,EMEA/H/C/002316,Authorised,levetiracetam,levetiracetam
Emtricitabine/Tenofovir disoproxil Mylan,EMEA/H/C/004050,Authorised,emtricitabine;tenofovir disoproxil,emtricitabine;tenofovir disoproxil maleate
Levetiracetam Actavis Group,EMEA/H/C/002305,Authorised,levetiracetam,levetiracetam
Vyjuvek,EMEA/H/C/006330,Authorised,beremagene geperpavec,Beremagene geperpavec
Avamys,EMEA/H/C/000770,Authorised,fluticasone furoate,fluticasone furoate
Tresiba,EMEA/H/C/002498,Authorised,insulin degludec,insulin degludec
Zoonotic Influenza Vaccine Seqirus,EMEA/H/C/006375,Authorised,"zoonotic influenza vaccine (H5N8) (surface antigen, inactivated, adjuvanted)",A/Astrakhan/3212/2020 (H5N8)-like strain (CBER-RG8A) (clade 2.3.4.4b)
Pavblu,EMEA/H/C/006339,Authorised,aflibercept,aflibercept
Miglustat Dipharma,EMEA/H/C/004904,Authorised,miglustat,miglustat
Foclivia,EMEA/H/C/001208,Authorised,"pandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted)","influenza virus surface antigens, inactivated: A/Viet Nam/1194/2004 (H5N1)"
Miglustat Gen.Orph,EMEA/H/C/004366,Authorised,miglustat,miglustat
Aripiprazole Sandoz,EMEA/H/C/004008,Authorised,aripiprazole,aripiprazole
Cotellic,EMEA/H/C/003960,Authorised,cobimetinib,cobimetinib hemifumarate
Zessly,EMEA/H/C/004647,Authorised,infliximab,infliximab
Tolucombi,EMEA/H/C/002549,Authorised,telmisartan;hydrochlorothiazide,telmisartan;hydrochlorothiazide
Beyfortus,EMEA/H/C/005304,Authorised,nirsevimab,nirsevimab
Lorviqua,EMEA/H/C/004646,Authorised,lorlatinib,Lorlatinib
Grepid,EMEA/H/C/001059,Authorised,clopidogrel,clopidogrel (as besilate)
Nustendi,EMEA/H/C/004959,Authorised,bempedoic acid;ezetimibe,bempedoic acid;ezetimibe
Nilemdo,EMEA/H/C/004958,Authorised,bempedoic acid,bempedoic acid
Memantine Merz,EMEA/H/C/002711,Authorised,memantine hydrochloride,memantine hydrochloride
Yorvipath,EMEA/H/C/005934,Authorised,palopegteriparatide,palopegteriparatide
Axura,EMEA/H/C/000378,Authorised,memantine,memantine hydrochloride
Colobreathe,EMEA/H/C/001225,Authorised,colistimethate sodium,Colistimethate sodium
Pazenir,EMEA/H/C/004441,Authorised,paclitaxel,paclitaxel
Zelboraf,EMEA/H/C/002409,Authorised,vemurafenib,vemurafenib
Jetrea,EMEA/H/C/002381,Withdrawn,ocriplasmin,ocriplasmin
Aquipta,EMEA/H/C/005871,Authorised,atogepant,atogepant
Enspryng,EMEA/H/C/004788,Authorised,satralizumab,satralizumab
Pergoveris,EMEA/H/C/000714,Authorised,follitropin alfa;lutropin alfa,follitropin alfa;lutropin alfa
Sprycel,EMEA/H/C/000709,Authorised,dasatinib (anhydrous),dasatinib
Atazanavir Viatris (previously Atazanavir Mylan),EMEA/H/C/004048,Authorised,atazanavir,atazanavir (as sulfate)
Doptelet,EMEA/H/C/004722,Authorised,avatrombopag,avatrombopag maleate
Cinryze,EMEA/H/C/001207,Authorised,C1 inhibitor (human),C1 inhibitor (human)
Phelinun,EMEA/H/C/005173,Authorised,melphalan,melphalan hydrochloride
Noxafil,EMEA/H/C/000610,Authorised,posaconazole,posaconazole
TachoSil,EMEA/H/C/000505,Authorised,human fibrinogen;human thrombin,human fibrinogen;human thrombin
Xevudy,EMEA/H/C/005676,Authorised,sotrovimab,sotrovimab
Lumeblue (previously Methylthioninium chloride Cosmo),EMEA/H/C/002776,Authorised,methylthioninium chloride,methylthioninium chloride
Rivastigmine Actavis,EMEA/H/C/002036,Authorised,rivastigmine,rivastigmine hydrogen tartrate
Biobhyo,EMEA/V/C/006336,Authorised,Swine dysentery vaccine (inactivated),"Brachyspira hyodysenteriae, strain AqDys057, inactivated"
Zerbaxa,EMEA/H/C/003772,Authorised,ceftolozane;tazobactam,ceftolozane sulfate;tazobactam sodium
Nyxoid,EMEA/H/C/004325,Authorised,naloxone,naloxone hydrochloride dihydrate
Leflunomide Zentiva (previously Leflunomide Winthrop),EMEA/H/C/001129,Authorised,leflunomide,leflunomide
Dexdor,EMEA/H/C/002268,Authorised,dexmedetomidine,Dexmedetomidine hydrochloride
Zostavax,EMEA/H/C/000674,Withdrawn,shingles (herpes zoster) vaccine (live),"varicella-zoster virus (live, attenuated)"
Rozlytrek,EMEA/H/C/004936,Authorised,entrectinib,Entrectinib
Vokanamet,EMEA/H/C/002656,Authorised,canagliflozin;metformin,canagliflozin;metformin hydrochloride
Apexelsin,EMEA/H/C/005997,Authorised,paclitaxel,paclitaxel
Jyseleca,EMEA/H/C/005113,Authorised,filgotinib,filgotinib maleate
Zyprexa,EMEA/H/C/000115,Authorised,olanzapine,olanzapine
Pelgraz Paediatric,EMEA/H/C/006348,Application withdrawn,pegfilgrastim,pegfilgrastim
Beqvez (previously Durveqtix),EMEA/H/C/004774,Withdrawn,fidanacogene elaparvovec,fidanacogene elaparvovec
Ibrance,EMEA/H/C/003853,Authorised,palbociclib,Palbociclib
Zeffix,EMEA/H/C/000242,Authorised,lamivudine,lamivudine
Cholestagel,EMEA/H/C/000512,Authorised,colesevelam,colesevelam (as hydrochloride)
Imcivree,EMEA/H/C/005089,Authorised,setmelanotide,setmelanotide
Atazanavir Krka,EMEA/H/C/004859,Authorised,atazanavir,atazanavir (as sulfate)
Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz),EMEA/H/C/002785,Authorised,levodopa;carbidopa;entacapone,levodopa;carbidopa;entacapone
Hepizovac,EMEA/V/C/006592,Authorised,epizootic haemorrhagic disease vaccine (inactivated),"epizootic haemorrhagic disease virus (EHDV), serotype 8, strain  EHDV8 SPA 2022/LCV_03 LCV Cod.:O78"
Prazivetin,EMEA/V/C/006247,Authorised,praziquantel,praziquantel
Prevestrus vet,EMEA/V/C/006235,Authorised,finrozole,finrozole
Nobilis Multriva IBm+ND+EDS,EMEA/V/C/006522,Authorised,infectious bronchitis;Newcastle disease;egg drop syndrome virus vaccine (inactivated),"infectious bronchitis virus, type Massachusetts, strain M41, inactivated ;infectious bronchitis virus, type 793/B, strain 4/91, inactivated;Newcastle disease virus, strain Ulster, inactivated;Eggdrop syndrome-1976 virus, strain BC14, inactivated"
Temozolomide Accord,EMEA/H/C/001125,Authorised,temozolomide,temozolomide
Rheumocam,EMEA/V/C/000121,Authorised,meloxicam,meloxicam
NovoRapid,EMEA/H/C/000258,Authorised,insulin aspart,insulin aspart
Xolair,EMEA/H/C/000606,Authorised,omalizumab,omalizumab
Lacosamide Accord,EMEA/H/C/004443,Authorised,lacosamide,lacosamide
Pemetrexed medac,EMEA/H/C/003905,Authorised,pemetrexed,pemetrexed
Ibuprofen Gen.Orph,EMEA/H/C/006129,Authorised,ibuprofen,Ibuprofen
Privigen,EMEA/H/C/000831,Authorised,human normal immunoglobulin (IVIg),human normal immunoglobulin (IVIg)
Ovaleap,EMEA/H/C/002608,Authorised,follitropin alfa,follitropin alfa
Kinselby,EMEA/H/C/006259,Opinion,resminostat,resminostat mesilate
Cinainu,EMEA/H/C/004155,Application withdrawn,dry aqueous extract of paullinia cupana seed;dry hydroethanolic extract of theobroma cacao seed;liquid ethanolic extract 30 per cent (W/W) of Allium cepa fresh bulb and Citrus limon fresh fruit,dry aqueous extract of paullinia cupana seed;dry hydroethanolic extract of theobroma cacao seed;liquid ethanolic extract 30 per cent (W/W) of Allium cepa fresh bulb and Citrus limon fresh fruit
Lacosamide UCB,EMEA/H/C/005243,Authorised,lacosamide,lacosamide
Ovitrelle,EMEA/H/C/000320,Authorised,choriogonadotropin alfa,choriogonadotropin alfa
Advate,EMEA/H/C/000520,Authorised,octocog alfa,octocog alfa
Pedmarqsi,EMEA/H/C/005130,Authorised,sodium thiosulfate,sodium thiosulfate
Ifirmasta (previously Irbesartan Krka),EMEA/H/C/000962,Authorised,irbesartan,irbesartan hydrochloride
Kisplyx,EMEA/H/C/004224,Authorised,lenvatinib,lenvatinib mesilate
Komboglyze,EMEA/H/C/002059,Authorised,saxagliptin;metformin hydrochloride,metformin hydrochloride;saxagliptin hydrochloride
Zoledronic Acid Accord,EMEA/H/C/002667,Authorised,zoledronic acid,zoledronic acid monohydrate
Epidyolex,EMEA/H/C/004675,Authorised,cannabidiol,cannabidiol
Teriparatide Ascend,EMEA/H/C/005687,Application withdrawn,teriparatide,teriparatide
Revestive,EMEA/H/C/002345,Authorised,teduglutide,teduglutide
Nerlynx,EMEA/H/C/004030,Authorised,neratinib,neratinib
Uptravi,EMEA/H/C/003774,Authorised,selexipag,selexipag
Artesunate Amivas,EMEA/H/C/005550,Authorised,artesunate,artesunate
Conbriza,EMEA/H/C/000913,Authorised,bazedoxifene,bazedoxifene
Pelgraz,EMEA/H/C/003961,Authorised,pegfilgrastim,pegfilgrastim
Brinavess,EMEA/H/C/001215,Authorised,vernakalant hydrochloride,vernakalant hydrochloride
Vipdomet,EMEA/H/C/002654,Authorised,alogliptin;metformin,alogliptin benzoate;metformin hydrochloride
Orencia,EMEA/H/C/000701,Authorised,abatacept,abatacept
Beovu,EMEA/H/C/004913,Authorised,brolucizumab,brolucizumab
Buprenorphine Neuraxpharm,EMEA/H/C/006188,Authorised,buprenorphine,buprenorphine hydrochloride
Sibnayal,EMEA/H/C/005407,Authorised,potassium citrate;potassium hydrogen carbonate,potassium citrate monohydrated;potassium hydrogen carbonate
Cerdelga,EMEA/H/C/003724,Authorised,eliglustat,Eliglustat (tartrate)
Bortezomib Hospira,EMEA/H/C/004207,Authorised,bortezomib,bortezomib
Fingolimod Accord,EMEA/H/C/005191,Authorised,fingolimod,fingolimod hydrochloride 
Deqsiga,EMEA/H/C/006423,Authorised,human normal immunoglobulin,human normal immunoglobulin
INOmax,EMEA/H/C/000337,Authorised,nitric oxide,nitric oxide
Riluzole Zentiva,EMEA/H/C/002622,Authorised,riluzole,riluzole
Rytelo,EMEA/H/C/006105,Authorised,imetelstat,imetelstat
Dimethyl fumarate Mylan,EMEA/H/C/006397,Authorised,dimethyl fumarate,dimethyl fumarate
Faslodex,EMEA/H/C/000540,Authorised,fulvestrant,fulvestrant
Zabdeno,EMEA/H/C/005337,Authorised,ebola vaccine (Ad26.ZEBOV-GP [recombinant]),recombinant adenovirus type 26 (Ad26) encoding the glycoprotein (GP) of the Ebola virus Zaire (ZEBOV) Mayinga strain
Mvabea,EMEA/H/C/005343,Authorised,Ebola vaccine (MVA-BN-Filo [recombinant]),recombinant Modified Vaccinia Ankara Bavarian Nordic Virus encoding the: Ebola virus Zaire (ZEBOV) Mayinga strain glycoprotein (GP); Ebola virus Sudan Gulu strain GP; Ebola virus Taï Forest strain nucleoprotein and the Marburg virus Musoke strain GP
Clopidogrel Krka,EMEA/H/C/001056,Authorised,clopidogrel,clopidogrel (as hydrochloride)
Zyllt,EMEA/H/C/001058,Authorised,clopidogrel,clopidogrel (as hydrogen sulfate)
Clopidogrel Krka d.d. (previously Zopya),EMEA/H/C/001137,Authorised,clopidogrel,clopidogrel (as hydrochloride)
Clopidogrel TAD,EMEA/H/C/001136,Authorised,clopidogrel,clopidogrel (as hydrochloride)
Kanjinti,EMEA/H/C/004361,Authorised,trastuzumab,trastuzumab
Actelsar HCT,EMEA/H/C/002676,Authorised,telmisartan;hydrochlorothiazide,telmisartan;hydrochlorothiazide
Xyrem,EMEA/H/C/000593,Authorised,sodium oxybate,sodium oxybate
Olanzapine Teva,EMEA/H/C/000810,Authorised,olanzapine,olanzapine
Pomalidomide Zentiva,EMEA/H/C/006294,Authorised,pomalidomide,Pomalidomide
Omjjara,EMEA/H/C/005768,Authorised,momelotinib,Momelotinib dihydrochloride monohydrate
Neupro,EMEA/H/C/000626,Authorised,rotigotine,rotigotine
Givlaari,EMEA/H/C/004775,Authorised,givosiran,Givosiran
Tacforius,EMEA/H/C/004435,Authorised,tacrolimus,tacrolimus monohydrate
Ongentys,EMEA/H/C/002790,Authorised,opicapone,opicapone
Evenity,EMEA/H/C/004465,Authorised,romosozumab,romosozumab
Vectibix,EMEA/H/C/000741,Authorised,panitumumab,panitumumab
Daurismo,EMEA/H/C/004878,Authorised,glasdegib,Glasdegib maleate
Bavencio,EMEA/H/C/004338,Authorised,avelumab,avelumab
Urorec,EMEA/H/C/001092,Authorised,silodosin,silodosin
RoActemra,EMEA/H/C/000955,Authorised,tocilizumab,tocilizumab
Sitagliptin / Metformin hydrochloride Sun,EMEA/H/C/005778,Authorised,sitagliptin;metformin hydrochloride,sitagliptin fumarate;metformin hydrochloride
Elebrato Ellipta,EMEA/H/C/004781,Authorised,fluticasone furoate;umeclidinium;vilanterol,fluticasone furoate;umeclidinium bromide;vilanterol trifenatate
Posaconazole Accord,EMEA/H/C/005005,Authorised,posaconazole,posaconazole
Imatinib Accord,EMEA/H/C/002681,Authorised,imatinib,imatinib
Arsenic trioxide Mylan,EMEA/H/C/005235,Withdrawn,arsenic trioxide,arsenic trioxide
Trelegy Ellipta,EMEA/H/C/004363,Authorised,fluticasone furoate;umeclidinium;vilanterol,fluticasone furoate;umeclidinium bromide;vilanterol trifenatate
Ketoconazole Esteve (previously Ketoconazole HRA),EMEA/H/C/003906,Authorised,ketoconazole,Ketoconazole
Deltyba,EMEA/H/C/002552,Authorised,delamanid,Delamanid
Clopidogrel / Acetylsalicylic acid Viatris (previously Clopidogrel / Acetylsalicylic acid Mylan),EMEA/H/C/004996,Authorised,clopidogrel;acetylsalicylic acid,acetylsalicylic acid;clopidogrel hydrogen sulfate
Ecansya (previously Capecitabine Krka),EMEA/H/C/002605,Authorised,capecitabine,capecitabine
Capecitabine Accord,EMEA/H/C/002386,Authorised,capecitabine,capecitabine
NeoRecormon,EMEA/H/C/000116,Authorised,epoetin beta,epoetin beta
Capecitabine Medac,EMEA/H/C/002568,Authorised,capecitabine,capecitabine
Xeloda,EMEA/H/C/000316,Authorised,capecitabine,capecitabine
Eptifibatide Accord,EMEA/H/C/004104,Authorised,eptifibatide,eptifibatide
Alprolix,EMEA/H/C/004142,Authorised,eftrenonacog alfa,eftrenonacog alfa
Pirsue,EMEA/V/C/000054,Withdrawn,pirlimycin,pirlimycin
Extavia,EMEA/H/C/000933,Withdrawn,interferon beta-1b,interferon beta-1b
Quviviq,EMEA/H/C/005634,Authorised,daridorexant,daridorexant hydrochloride
Alofisel,EMEA/H/C/004258,Withdrawn,darvadstrocel,darvadstrocel
Xenleta,EMEA/H/C/005048,Authorised,lefamulin,lefamulin acetate
Bimzelx,EMEA/H/C/005316,Authorised,bimekizumab,bimekizumab
Twynsta,EMEA/H/C/001224,Authorised,telmisartan;amlodipine,telmisartan;amlodipine
Alunbrig,EMEA/H/C/004248,Authorised,brigatinib,brigatinib
Elocta,EMEA/H/C/003964,Authorised,efmoroctocog alfa,efmoroctocog alfa
Dazluma,EMEA/H/C/006068,Application withdrawn,troriluzole,troriluzole hydrochloride monohydrate
Prevenar 13,EMEA/H/C/001104,Authorised,"pneumococcal polysaccharide conjugate vaccine (13-valent, adsorbed)",Pneumococcal polysaccharide serotype 1;Pneumococcal polysaccharide serotype 3;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 5;Pneumococcal polysaccharide serotype 6A;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 7F;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 14;Pneumococcal polysaccharide serotype 18C;Pneumococcal polysaccharide serotype 19A;Pneumococcal polysaccharide serotype 19F;Pneumococcal polysaccharide serotype 23F
Movymia,EMEA/H/C/004368,Authorised,teriparatide,teriparatide
Wainzua,EMEA/H/C/006295,Authorised,eplontersen,eplontersen sodium
Brilique,EMEA/H/C/001241,Authorised,ticagrelor,ticagrelor
Regkirona,EMEA/H/C/005854,Withdrawn,regdanvimab,regdanvimab
Vevizye,EMEA/H/C/006250,Authorised,ciclosporin,ciclosporin
Kinzalmono (previously Telmisartan Boehringer Ingelheim Pharma KG),EMEA/H/C/000211,Authorised,telmisartan,telmisartan
Pritor,EMEA/H/C/000210,Authorised,telmisartan,telmisartan
Zegalogue,EMEA/H/C/006214,Authorised,dasiglucagon,dasiglucagon hydrochloride
Lenvima,EMEA/H/C/003727,Authorised,lenvatinib,lenvatinib mesilate
Evra,EMEA/H/C/000410,Authorised,norelgestromin;ethinyl estradiol,norelgestromin;Ethinyl estradiol
Elaprase,EMEA/H/C/000700,Authorised,idursulfase,idursulfase
Cometriq,EMEA/H/C/002640,Authorised,cabozantinib,cabozantinib
Tamiflu,EMEA/H/C/000402,Authorised,oseltamivir,oseltamivir
Inovelon,EMEA/H/C/000660,Authorised,rufinamide,rufinamide
Valdoxan,EMEA/H/C/000915,Authorised,agomelatine,agomelatine
Omeprazole TriviumVet,EMEA/V/C/005345,Authorised,omeprazole,omeprazole
Elmaro,EMEA/V/C/006389,Authorised,maropitant,Maropitant citrate monohydrate
Vectormune HVT-AIV,EMEA/V/C/006288,Authorised,Avian influenza vaccine,"turkey herpesvirus, strain rHVT/AI-H5 (cell-associated), expressing haemagglutinin gene of Avian influenza subtype H5, Live"
Mircera,EMEA/H/C/000739,Authorised,methoxy polyethylene glycol-epoetin beta,Methoxy polyethylene glycol-epoetin beta
Prometax,EMEA/H/C/000255,Authorised,rivastigmine,rivastigmine
Stelara,EMEA/H/C/000958,Authorised,ustekinumab,ustekinumab
